產品ID,產品名稱,目前價格,熱賣,原始文字
23,華碩 ROG LOKI 1000W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,8490,,"華碩 ROG LOKI 1000W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】, $8490 ◆ ★"
24,華碩 ROG LOKI 1200W 雙8/鈦金/ATX3.1(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,9990,,"華碩 ROG LOKI 1200W 雙8/鈦金/ATX3.1(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】, $9990 ◆ ★"
25,Apexgaming KR-750M(750W) 雙8/白金/全模/ATX3.0(PCIe 5.0)/全日系/10年【SFX】,3590,,"Apexgaming KR-750M(750W) 雙8/白金/全模/ATX3.0(PCIe 5.0)/全日系/10年【SFX】, $3590 ◆ ★"
26,Apexgaming KR-850MW(850W) 白色 雙8/白金/全模/ATX3.0(PCIe 5.0)/10年【SFX】,4490,,"Apexgaming KR-850MW(850W) 白色 雙8/白金/全模/ATX3.0(PCIe 5.0)/10年【SFX】, $4490 ◆ ★"
27,全漢 金鋼彈 650W 雙8/金牌/全模/全日系/DC-DC/10年保固【SFX規格】,2890,,"全漢 金鋼彈 650W 雙8/金牌/全模/全日系/DC-DC/10年保固【SFX規格】, $2890 ◆ ★"
28,全漢 金鋼彈 750W ATX3.1(PCIe 5.1) 雙8/金牌/全模/主日系/10年保【SFX規格】,3690,,"全漢 金鋼彈 750W ATX3.1(PCIe 5.1) 雙8/金牌/全模/主日系/10年保【SFX規格】, $3690 ◆ ★"
29,全漢 金鋼彈 850W ATX3.1(PCIe 5.1) 雙8/金牌/全模/主日系/10年保【SFX規格】,4590,,"全漢 金鋼彈 850W ATX3.1(PCIe 5.1) 雙8/金牌/全模/主日系/10年保【SFX規格】, $4590 ◆ ★"
30,全漢 金鋼彈 850W ATX3.0(PCIe 5.0) 白色/雙8/金牌/全模/主日系/10年保【SFX規格】,4590,,"全漢 金鋼彈 850W ATX3.0(PCIe 5.0) 白色/雙8/金牌/全模/主日系/10年保【SFX規格】, $4590 ◆ ★"
31,全漢 DAGGER PM 1200W(MIT) 雙8/白金/全模/ATX3.1(PCIe 5.1)/主日系/10年【SFX-L】,7990,,"全漢 DAGGER PM 1200W(MIT) 雙8/白金/全模/ATX3.1(PCIe 5.1)/主日系/10年【SFX-L】, $7990 ◆"
32,銀欣 300W 銅牌/5年保 (ST30SF.V2.0)【SFX規格】,1790,,"銀欣 300W 銅牌/5年保 (ST30SF.V2.0)【SFX規格】, $1790 ◆ ★"
33,銀欣 450W 銅牌/5年保 (ST45SF.V3.0)【SFX規格】,2190,,"銀欣 450W 銅牌/5年保 (ST45SF.V3.0)【SFX規格】, $2190 ◆ ★"
34,銀欣 Extreme 550Rz(550W) Gold 雙8/金牌/全模組/主日系/ATX3.1/5年保【SFX規格】,2490,,"銀欣 Extreme 550Rz(550W) Gold 雙8/金牌/全模組/主日系/ATX3.1/5年保【SFX規格】, $2490 ◆ ★"
35,銀欣 Extreme 650Rz(650W) Gold 雙8/金牌/全模組/主日系/ATX3.1/5年保【SFX規格】,2790,,"銀欣 Extreme 650Rz(650W) Gold 雙8/金牌/全模組/主日系/ATX3.1/5年保【SFX規格】, $2790 ◆ ★"
36,酷碼 V SFX GOLD 850W ATX3.1 黑色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】,4690,,"酷碼 V SFX GOLD 850W ATX3.1 黑色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】, $4690 ◆ ★"
37,酷碼 V SFX GOLD 850W ATX3.1 白色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】,4690,,"酷碼 V SFX GOLD 850W ATX3.1 白色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】, $4690 ◆ ★"
40,華碩 ROG LOKI 750W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,5990,,"華碩 ROG LOKI 750W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】, $5990 ◆ ★"
41,華碩 ROG LOKI 850W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,6990,,"華碩 ROG LOKI 850W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】, $6990 ◆ ★"
42,華碩 ROG LOKI 850W 白色版 雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】,7490,,"華碩 ROG LOKI 850W 白色版 雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】, $7490 ◆ ★"
43,華碩 ROG LOKI 1000W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,8490,,"華碩 ROG LOKI 1000W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】, $8490 ◆ ★"
44,華碩 ROG LOKI 1200W 雙8/鈦金/ATX3.1(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,9990,,"華碩 ROG LOKI 1200W 雙8/鈦金/ATX3.1(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】, $9990 ◆ ★"
45,華碩 PRIME 550W 銅牌/直出線/雙滾珠風扇/壓紋線材/6年保,1790,,"華碩 PRIME 550W 銅牌/直出線/雙滾珠風扇/壓紋線材/6年保, $1890↘$1790 ◆ ★"
46,華碩 TUF GAMING 650W EVO 銅牌/全模組/ATX3.1/防潮塗層/6年保,1990,,"華碩 TUF GAMING 650W EVO 銅牌/全模組/ATX3.1/防潮塗層/6年保, $1990 ◆ ★"
47,華碩 TUF GAMING 750W EVO 雙8/銅牌/全模組/ATX3.1/防潮塗層/6年保,2390,,"華碩 TUF GAMING 750W EVO 雙8/銅牌/全模組/ATX3.1/防潮塗層/6年保, $2390 ◆ ★"
48,華碩 TUF GAMING 850W Gold EVO 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/8年保,3490,,"華碩 TUF GAMING 850W Gold EVO 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/8年保, $3490 ◆ ★"
49,華碩 TUF GAMING 1000W Gold EVO 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/8年保,4390,,"華碩 TUF GAMING 1000W Gold EVO 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/8年保, $4390 ◆ ★"
50,華碩 TUF GAMING 1000W Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保,4590,,"華碩 TUF GAMING 1000W Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保, $4590 ◆ ★"
51,華碩 TUF GAMING 1000W Gold 白色版 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保,5090,,"華碩 TUF GAMING 1000W Gold 白色版 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保, $5090 ◆ ★"
52,華碩 TUF GAMING 850W 白金/全模組/ATX3.1(PCIe 5.1)8年 送華碩(ESD-T1A) SSD外接盒▼下殺到 8/31 20:00,4390,,"華碩 TUF GAMING 850W 白金/全模組/ATX3.1(PCIe 5.1)8年 送華碩(ESD-T1A) SSD外接盒▼下殺到 8/31 20:00, $4390 ◆ ★"
53,華碩 TUF GAMING 1000W 白金/全模組/ATX3.1(PCIe 5.1)8年 送華碩(ESD-T1A) SSD外接盒▼下殺到 8/31 20:00,4990,,"華碩 TUF GAMING 1000W 白金/全模組/ATX3.1(PCIe 5.1)8年 送華碩(ESD-T1A) SSD外接盒▼下殺到 8/31 20:00, $4990 ◆ ★"
54,華碩 TUF GAMING 1200W 白金/全模組/ATX3.1(PCIe 5.1)8年 送華碩(ESD-T1A) SSD外接盒▼下殺到 8/31 20:00,5990,,"華碩 TUF GAMING 1200W 白金/全模組/ATX3.1(PCIe 5.1)8年 送華碩(ESD-T1A) SSD外接盒▼下殺到 8/31 20:00, $5990 ◆ ★"
55,華碩 ROG STRIX 1000W 白金(Equalizer)/全模/ATX3.1(PCIe 5.1)10年 送Herculx 顯卡支撐架▼下殺到 8/31 20:00,6490,,"華碩 ROG STRIX 1000W 白金(Equalizer)/全模/ATX3.1(PCIe 5.1)10年 送Herculx 顯卡支撐架▼下殺到 8/31 20:00, $6490 ◆ ★"
56,華碩 ROG STRIX 1200W 白金(Equalizer)/全模/ATX3.1(PCIe 5.1)10年 送Herculx 顯卡支撐架▼下殺到 8/31 20:00,7490,,"華碩 ROG STRIX 1200W 白金(Equalizer)/全模/ATX3.1(PCIe 5.1)10年 送Herculx 顯卡支撐架▼下殺到 8/31 20:00, $7490 ◆ ★"
58,華碩 ROG THOR III 1000W 雙8/白金/全模組/OLED監控/ATX3.1(PCIe 5.1)/10年保,10490,,"華碩 ROG THOR III 1000W 雙8/白金/全模組/OLED監控/ATX3.1(PCIe 5.1)/10年保, $10490 ◆ ★"
59,華碩 ROG THOR III 1200W 雙8/白金/全模組/OLED監控/ATX3.1(PCIe 5.1)/10年保,11990,,"華碩 ROG THOR III 1200W 雙8/白金/全模組/OLED監控/ATX3.1(PCIe 5.1)/10年保, $11990 ◆ ★"
60,華碩 ROG THOR III 1200W Hatsune Miku 聯名版 /白金/全模組/ATX3.1(PCIe 5.1)/10年,15990,,"華碩 ROG THOR III 1200W Hatsune Miku 聯名版 /白金/全模組/ATX3.1(PCIe 5.1)/10年, $15990 ◆ ★"
61,華碩 ROG THOR III 1200W(白色) 白金(ROG Equalizer)/全模/OLED/ATX3.1(PCIe 5.1)/10年,14590,,"華碩 ROG THOR III 1200W(白色) 白金(ROG Equalizer)/全模/OLED/ATX3.1(PCIe 5.1)/10年, $14590 ◆ ★"
62,華碩 ROG THOR III EVO 1600W 鈦金/全模/OLED/ATX3.1(雙PCie 5.1/Equalizer線)10年,23990,,"華碩 ROG THOR III EVO 1600W 鈦金/全模/OLED/ATX3.1(雙PCie 5.1/Equalizer線)10年, $23990 ◆ ★"
63,華碩 Pro WS 2200W 雙8/白金/全模組/ATX3.1(4*PCIe 5.1)/10年保(限220V T型插座),19990,,"華碩 Pro WS 2200W 雙8/白金/全模組/ATX3.1(4*PCIe 5.1)/10年保(限220V T型插座), $19990 ◆ ★"
64,華碩 Pro WS 3000W 雙8/白金/全模組/ATX3.1(4*PCIe 5.1)/10年保(限220V T型插座),29990,,"華碩 Pro WS 3000W 雙8/白金/全模組/ATX3.1(4*PCIe 5.1)/10年保(限220V T型插座), $29990 ◆ ★"
67,海韻 S12III-500W 銅牌/智慧溫控風扇/5年保,1550,,"海韻 S12III-500W 銅牌/智慧溫控風扇/5年保, $1550 ◆ ★"
68,海韻 S12III-550W 銅牌/智慧溫控風扇/5年保,1750,,"海韻 S12III-550W 銅牌/智慧溫控風扇/5年保, $1750 ◆ ★"
69,海韻 S12III-650W 銅牌/智慧溫控風扇/5年保,1950,,"海韻 S12III-650W 銅牌/智慧溫控風扇/5年保, $1950 ◆ ★"
70,海韻 CORE GX-650 ATX3(650W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,2990,,"海韻 CORE GX-650 ATX3(650W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保, $2990 ◆ ★"
71,海韻 CORE GX-750 ATX3(750W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,3290,,"海韻 CORE GX-750 ATX3(750W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保, $3290 ◆ ★"
72,海韻 CORE GX-850 ATX3(850W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,3790,,"海韻 CORE GX-850 ATX3(850W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保, $3790 ◆ ★"
73,海韻 CORE GX-650 ATX3(650W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年▼下殺到 8/31 20:00,2690,,"海韻 CORE GX-650 ATX3(650W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年▼下殺到 8/31 20:00, $3090↘$2690 ◆ ★"
74,海韻 CORE GX-750 ATX3(750W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年▼下殺到 8/31 20:00,2890,,"海韻 CORE GX-750 ATX3(750W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年▼下殺到 8/31 20:00, $3390↘$2890 ◆ ★"
75,海韻 CORE GX-850 ATX3(850W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年▼下殺到 8/31 20:00,3290,,"海韻 CORE GX-850 ATX3(850W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年▼下殺到 8/31 20:00, $3890↘$3290 ◆ ★"
76,海韻 FOCUS GX-550(550W) 雙8/金牌/全模組/10年保,2590,,"海韻 FOCUS GX-550(550W) 雙8/金牌/全模組/10年保, $2590 ◆ ★"
77,海韻 FOCUS GX-650(650W) 雙8/金牌/全模組/10年保▼下殺到 8/31 20:00,2650,,"海韻 FOCUS GX-650(650W) 雙8/金牌/全模組/10年保▼下殺到 8/31 20:00, $2790↘$2650 ◆ ★"
78,海韻 FOCUS GX-750(750W) 雙8/金牌/全模組/10年保,2990,,"海韻 FOCUS GX-750(750W) 雙8/金牌/全模組/10年保, $2990 ◆ ★"
79,海韻 FOCUS GX-850(850W) 雙8/金牌/全模組/10年保,3490,,"海韻 FOCUS GX-850(850W) 雙8/金牌/全模組/10年保, $3490 ◆ ★"
80,海韻 FOCUS GX-750 ATX3(750W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,3790,,"海韻 FOCUS GX-750 ATX3(750W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保, $3790 ◆ ★"
81,海韻 FOCUS GX-750 ATX3 金牌/全模+鈦鉭 TCOMAS LE200 360(黑)水冷 現省,4290,是,"海韻 FOCUS GX-750 ATX3 金牌/全模+鈦鉭 TCOMAS LE200 360(黑)水冷 現省$2090！, $4290 ◆ ★ 熱賣"
82,海韻 FOCUS GX-750 ATX3(750W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保▼下殺到 8/31 20:00,3490,,"海韻 FOCUS GX-750 ATX3(750W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保▼下殺到 8/31 20:00, $4090↘$3490 ◆ ★"
83,海韻 FOCUS GX-750 ATX3(白色)金牌+鈦鉭 TCOMAS LE200 360(白)水冷 現省,4290,是,"海韻 FOCUS GX-750 ATX3(白色)金牌+鈦鉭 TCOMAS LE200 360(白)水冷 現省$2390！, $4290 ◆ ★ 熱賣"
84,海韻 FOCUS GX-850 ATX3(850W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,4290,,"海韻 FOCUS GX-850 ATX3(850W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保, $4290 ◆ ★"
85,海韻 FOCUS GX-850 ATX3(850W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,4490,,"海韻 FOCUS GX-850 ATX3(850W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保, $4490 ◆ ★"
86,海韻 FOCUS GX-1000 ATX3(1000W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保▼下殺到 8/31 20:00,4990,,"海韻 FOCUS GX-1000 ATX3(1000W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保▼下殺到 8/31 20:00, $5490↘$4990 ◆ ★"
87,海韻 FOCUS GX-1000 ATX3(1000W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保▼下殺到 8/31 20:00,4890,,"海韻 FOCUS GX-1000 ATX3(1000W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保▼下殺到 8/31 20:00, $5790↘$4890 ◆ ★"
88,海韻 FOCUS PX-850 ATX3.1(850W) 雙8/白金/全模組/PCIe 5.1/全日系/10年保,4790,,"海韻 FOCUS PX-850 ATX3.1(850W) 雙8/白金/全模組/PCIe 5.1/全日系/10年保, $4790 ◆ ★"
89,海韻 FOCUS PX-1000 ATX3.1(1000W) 雙8/白金/全模組/PCIe 5.1/全日系/10年保,6090,,"海韻 FOCUS PX-1000 ATX3.1(1000W) 雙8/白金/全模組/PCIe 5.1/全日系/10年保, $6090 ◆ ★"
90,海韻 VERTEX GX-1200(1200W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/12年保,6490,,"海韻 VERTEX GX-1200(1200W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/12年保, $6490 ◆ ★"
91,海韻 VERTEX GX-1200(1200W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/12年保,6490,,"海韻 VERTEX GX-1200(1200W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/12年保, $6490 ◆ ★"
92,海韻 VERTEX PX-1200(1200W) 雙8/白金/全模組/ATX3.1(PCIe 5.1)/12年保,7590,,"海韻 VERTEX PX-1200(1200W) 雙8/白金/全模組/ATX3.1(PCIe 5.1)/12年保, $7590 ◆ ★"
94,海韻 PRIME PX-1600 ATX3.0(1600W) 雙8/白金/全模組/雙PCIe 5.1/12年保,16490,,"海韻 PRIME PX-1600 ATX3.0(1600W) 雙8/白金/全模組/雙PCIe 5.1/12年保, $16490 ◆ ★"
95,海韻 PRIME PX-2200 ATX3(2200W) 雙8/白金/全模組/4*PCIe 5.1/12年保(限220V H型插座),17490,,"海韻 PRIME PX-2200 ATX3(2200W) 雙8/白金/全模組/4*PCIe 5.1/12年保(限220V H型插座), $17490 ◆ ★"
96,海韻 PRIME TX-1300 ATX3(1300W) 雙8/鈦金/全模組/PCIe 5.1/12年保,16490,,"海韻 PRIME TX-1300 ATX3(1300W) 雙8/鈦金/全模組/PCIe 5.1/12年保, $16490 ◆ ★"
97,海韻 PRIME TX-1600 ATX3(1600W) 雙8/鈦金/全模組/雙PCIe 5.1/12年保,18490,,"海韻 PRIME TX-1600 ATX3(1600W) 雙8/鈦金/全模組/雙PCIe 5.1/12年保, $18490 ◆ ★"
100,台達 550W 雙8/銅牌/DC-DC/5年保固/3年換新/GPS-550GB A,1990,,"台達 550W 雙8/銅牌/DC-DC/5年保固/3年換新/GPS-550GB A, $1990 ◆ ★"
101,台達 650W 雙8/銅牌/DC-DC/5年保固/3年換新/GPS-650FB A,2190,,"台達 650W 雙8/銅牌/DC-DC/5年保固/3年換新/GPS-650FB A, $2190 ◆ ★"
102,台達 650W 雙8/金牌/全模組/DC-DC/10年保固/3年換新/GPS-650MB A,2890,,"台達 650W 雙8/金牌/全模組/DC-DC/10年保固/3年換新/GPS-650MB A, $2890 ◆ ★"
103,台達 超實在 850W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,3890,,"台達 超實在 850W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保, $3890 ◆ ★"
104,台達 超實在 1100W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價,5390,是,"台達 超實在 1100W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價$6990！, $5390 ◆ ★ 熱賣"
106,Apexgaming KR-750M(750W) 雙8/白金/全模/ATX3.0(PCIe 5.0)/全日系/10年【SFX】,3590,,"Apexgaming KR-750M(750W) 雙8/白金/全模/ATX3.0(PCIe 5.0)/全日系/10年【SFX】, $3590 ◆ ★"
107,Apexgaming KR-850MW(850W) 白色 雙8/白金/全模/ATX3.0(PCIe 5.0)/10年【SFX】,4490,,"Apexgaming KR-850MW(850W) 白色 雙8/白金/全模/ATX3.0(PCIe 5.0)/10年【SFX】, $4490 ◆ ★"
108,Apexgaming(首利) A-550(550W) 銀牌/直出線/主日系/5年保,1390,,"Apexgaming(首利) A-550(550W) 銀牌/直出線/主日系/5年保, $1390 ◆ ★"
109,Apexgaming(首利) A-650(650W) 雙8/銀牌/直出線/主日系/5年保,1590,,"Apexgaming(首利) A-650(650W) 雙8/銀牌/直出線/主日系/5年保, $1590 ◆ ★"
110,Apexgaming(首利) A-750(750W) 雙8/銀牌/直出線/PCIe 5.1/主日系/5年保,1790,,"Apexgaming(首利) A-750(750W) 雙8/銀牌/直出線/PCIe 5.1/主日系/5年保, $1790 ◆ ★"
111,Apexgaming(首利) A-850(850W) 雙8/銀牌/直出線/ATX3.1(PCIe 5.1)/全日系/5年保,2090,,"Apexgaming(首利) A-850(850W) 雙8/銀牌/直出線/ATX3.1(PCIe 5.1)/全日系/5年保, $2090 ◆ ★"
112,Apexgaming(首利) AJ-650M(650W) 雙8/金牌/全模/全日系/智慧停轉/10年保,2090,,"Apexgaming(首利) AJ-650M(650W) 雙8/金牌/全模/全日系/智慧停轉/10年保, $2090 ◆ ★"
113,Apexgaming(首利) STR650MW(650W) 白色/雙8/金牌/全模/全日系/10年保,2290,,"Apexgaming(首利) STR650MW(650W) 白色/雙8/金牌/全模/全日系/10年保, $2290 ◆ ★"
114,Apexgaming GTR-750M(750W) 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/10年,2690,,"Apexgaming GTR-750M(750W) 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/10年, $2690 ◆ ★"
115,Apexgaming GTR-750MW(750W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年,2490,是,"Apexgaming GTR-750MW(750W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年, $2490 ◆ ★ 熱賣"
116,Apexgaming GTR-850M(850W) 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/10年,2890,,"Apexgaming GTR-850M(850W) 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/10年, $2890 ◆ ★"
117,Apexgaming GTR-850MW(850W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年,2790,,"Apexgaming GTR-850MW(850W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年, $2790 ◆ ★"
118,Apexgaming GTR Plus-1000M(1000W) 雙8/白金/全模/ATX3.1(PCIe 5.1)/10年 原價,3390,是,"Apexgaming GTR Plus-1000M(1000W) 雙8/白金/全模/ATX3.1(PCIe 5.1)/10年 原價$5590, $3390 ◆ ★ 熱賣"
119,Apexgaming GTR Plus-1000MW(1000W) 白色/白金/全模/ATX3.1(PCIe 5.1)10年 原價,3590,是,"Apexgaming GTR Plus-1000MW(1000W) 白色/白金/全模/ATX3.1(PCIe 5.1)10年 原價$5790, $3590 ◆ ★ 熱賣"
120,Apexgaming(首利) ODIN 1650W 雙8/白金/全模組/ATX3.0(雙PCIe 5.0)/全日系/10年保,14990,,"Apexgaming(首利) ODIN 1650W 雙8/白金/全模組/ATX3.0(雙PCIe 5.0)/全日系/10年保, $14990 ◆ ★"
123,COUGAR VTE 400W 銅牌/主日系/DC-DC/5年保,1290,,"COUGAR VTE 400W 銅牌/主日系/DC-DC/5年保, $1290 ◆ ★"
124,COUGAR ATLAS 550W 銅牌/主日系/DC-DC/5年保,1590,,"COUGAR ATLAS 550W 銅牌/主日系/DC-DC/5年保, $1590 ◆ ★"
125,COUGAR ATLAS 650W 雙8/銅牌/主日系/DC-DC/5年保,1790,,"COUGAR ATLAS 650W 雙8/銅牌/主日系/DC-DC/5年保, $1790 ◆ ★"
126,COUGAR ATLAS 750W 雙8/銅牌/ATX3.1(PCIe 5.1)/主日系/5年保 原價,1790,是,"COUGAR ATLAS 750W 雙8/銅牌/ATX3.1(PCIe 5.1)/主日系/5年保 原價$2090！, $1790 ◆ ★ 熱賣"
